iso_alpha3,country,population,whostandard,natstandard,pm2021,aq_monitoring,open_data,aq_standard,number_of_locations,monitor_density,aq_mon_dummy,open_data_dummy,aq_std_dummy,pm_dummy,pop_dummy,num_loc_dummy,mon_dens_dummy,opportunity_score
JEY,Jersey,97826,5,NA,8.44,N,N,N,0,0,1,1,1,0,0,1,1,5
MYT,Mayotte,262675,5,NA,8.01,N,N,N,0,0,1,1,1,0,0,1,1,5
GGY,Guernsey,66747,5,NA,7.97,N,N,N,0,0,1,1,1,0,0,1,1,5
CYM,Cayman Islands,57815,5,NA,7.44,N,N,N,0,0,1,1,1,0,0,1,1,5
CUB,Cuba,10882994,5,NA,6.84,Y,N,N,0,0,0,1,1,0,1,1,1,5
LBY,Libya,7001233,5,NA,6.78,N,N,N,1,1.4283198402338559e-7,1,1,1,0,1,1,0,5
XPI,Paracel Islands,209,5,NA,6.66,N,N,N,0,0,1,1,1,0,0,1,1,5
IMN,Isle of Man,88758,5,NA,6.46,N,N,N,0,0,1,1,1,0,0,1,1,5
SUR,Suriname,633124,5,NA,6.43,N,N,N,0,0,1,1,1,0,0,1,1,5
COM,Comoros,797402,5,NA,6.4,N,N,N,0,0,1,1,1,0,0,1,1,5
DZA,Algeria,43480294,5,NA,6.15,Y,N,N,1,2.2998924524291397e-8,0,1,1,0,1,1,1,5
GUF,French Guiana,288586,5,NA,5.79,N,N,N,0,0,1,1,1,0,0,1,1,5
SLB,Solomon Islands,549101,5,NA,5.79,N,N,N,0,0,1,1,1,0,0,1,1,5
SYC,Seychelles,84510,5,NA,4.95,N,N,N,0,0,1,1,1,0,0,1,1,5
ESH,Western Sahara,646462,5,NA,4.84,N,N,N,0,0,1,1,1,0,0,1,1,5
ALA,Åland,27514,5,NA,4.83,N,N,N,0,0,1,1,1,0,0,1,1,5
VUT,Vanuatu,265705,5,NA,4.39,N,N,N,0,0,1,1,1,0,0,1,1,5
SPM,Saint Pierre and Miquelon,5065,5,NA,3.85,N,N,N,0,0,1,1,1,0,0,1,1,5
BHS,Bahamas,331992,5,NA,3.79,N,N,N,0,0,1,1,1,0,0,1,1,5
CUW,Curaçao,148910,5,NA,3.59,N,N,N,0,0,1,1,1,0,0,1,1,5
NCL,New Caledonia,272794,5,NA,3.37,N,N,N,0,0,1,1,1,0,0,1,1,5
TCA,Turks and Caicos Islands,52365,5,NA,3.37,N,N,N,0,0,1,1,1,0,0,1,1,5
ABW,Aruba,112080,5,NA,3.31,N,N,N,0,0,1,1,1,0,0,1,1,5
BMU,Bermuda,66048,5,NA,3.29,N,N,N,0,0,1,1,1,0,0,1,1,5
BES,"Bonaire, Sint Eustatius and Saba",22605,5,NA,3.27,N,N,N,0,0,1,1,1,0,0,1,1,5
MTQ,Martinique,344527,5,NA,3.24,N,N,N,0,0,1,1,1,0,0,1,1,5
