"iso_alpha3","country","population","pm2021","aq_monitoring","open_data","aq_standard","tot_monitor","govt","other","monitor_density","Funding in USD million","pm_qtile","pop_qtile","monitor_dens_qtile","gbd_dummy","registry","Income.classification","aq_mon_dummy","open_data_dummy","aq_std_dummy","num_loc_dummy","govt_dummy","other_dummy","funding_dummy","pm_quintile","pop_quintile","mon_dens_quintile","opportunity_score","bands"
"CHN","China",1402508466,30.2,"Y","N","Y",1876,1865,11,1.33760333393952,307.243050664757,5,5,3,1,0,NA,0,1,0,0,0,0,0,2,2,0.6,6.6,"Medium"
"MNG","Mongolia",3196294,36.04,"Y","N","Y",124,44,80,38.7949293775854,4.769264097435,5,1,5,1,1,NA,0,1,0,0,0,0,0,2,0.4,1,6.4,"Medium"
"CZE","Czechia",10710377,13.23,"Y","Y","Y",127,111,16,11.857659165499,NA,3,3,5,1,1,NA,0,0,0,0,0,0,1,1.2,1.2,1,6.4,"Medium"
"ARE","United Arab Emirates",9784395,16.81,"Y","N","N",32,22,10,3.27051391527018,NA,4,3,3,0,0,"High Income",0,1,1,0,0,1,0,1.6,1.2,0.6,6.4,"Medium"
"CYP","Cyprus",831156,12.35,"Y","Y","Y",20,10,10,24.0628714705783,NA,2,1,5,0,0,"High Income",0,0,0,2,1,1,0,0.8,0.4,1,6.2,"Medium"
"KOR","South Korea",51427386,20.36,"Y","Y","Y",140,2,138,2.7222849708908,NA,4,5,3,1,0,"High Income",0,0,0,0,1,0,0,1.6,2,0.6,6.2,"Medium"
"KEN","Kenya",54600463,17.44,"Y","N","Y",28,3,25,0.512816164214578,7.339039,4,5,2,0,0,NA,0,1,0,0,1,0,0,1.6,2,0.4,6,"Medium"
"ETH","Ethiopia",110966009,16.96,"Y","Y","N",28,3,25,0.252329521916932,12.7978336215705,4,5,2,0,0,NA,0,0,1,0,1,0,0,1.6,2,0.4,6,"Medium"
"CHL","Chile",17984410,18.86,"Y","Y","Y",226,140,86,12.5664394884236,NA,4,3,5,1,1,"High Income",0,0,0,0,0,0,0,1.6,1.2,1,5.8,"Medium"
"ITA","Italy",61859348,12.98,"Y","N","Y",623,527,96,10.0712345044439,NA,2,5,5,1,0,"High Income",0,1,0,0,0,0,0,0.8,2,1,5.8,"Medium"
"JPN","Japan",123419990,10.68,"Y","N","Y",1533,1524,9,12.4210024648357,NA,2,5,5,0,0,"High Income",0,1,0,0,0,1,0,0.8,2,1,5.8,"Medium"
"EST","Estonia",1210354,6.68,"Y","Y","Y",6,6,NA,4.95722738967277,NA,1,1,4,0,0,"High Income",0,0,0,2,1,1,0,0.4,0.4,0.8,5.6,"Low"
"BGR","Bulgaria",6914894,19.01,"Y","Y","Y",116,23,93,16.7753836862864,NA,4,2,5,1,0,NA,0,0,0,0,0,0,1,1.6,0.8,1,5.4,"Low"
"HUN","Hungary",9730511,14.09,"Y","Y","Y",92,87,5,9.45479636167104,NA,3,3,5,1,0,"High Income",0,0,0,0,0,1,0,1.2,1.2,1,5.4,"Low"
"TWN","Taiwan",23471731,16.16,"Y","Y","N",68,58,10,2.89710205012148,NA,3,4,3,0,0,"High Income",0,0,1,0,0,1,0,1.2,1.6,0.6,5.4,"Low"
"POL","Poland",38156837,17.95,"Y","Y","Y",322,311,11,8.43885461470509,NA,4,4,4,1,0,"High Income",0,0,0,0,0,0,0,1.6,1.6,0.8,5,"Low"
"COL","Colombia",50092132,13.62,"Y","Y","Y",146,56,90,2.91462938730577,0.799844,3,5,3,0,1,NA,0,0,0,0,0,0,0,1.2,2,0.6,4.8,"Low"
"SVK","Slovakia",5439730,14.49,"Y","Y","Y",40,39,1,7.35330613835613,NA,3,2,4,1,0,"High Income",0,0,0,0,0,1,0,1.2,0.8,0.8,4.8,"Low"
"KGZ","Kyrgyzstan",5890078,14.73,"Y","N","Y",27,2,25,4.58398004236956,99.9999999999997,3,2,4,0,0,NA,0,1,0,0,1,0,0,1.2,0.8,0.8,4.8,"Low"
