"name","ismonitor","min","max","count"
"South Korea",False,"2019-04-17T21:23:22+00:00","2023-10-03T14:29:05+00:00","138"
"Spain",False,"2019-12-05T19:38:36+00:00","2023-10-03T14:29:05+00:00","86"
"Spain",True,"2016-11-17T23:00:00+00:00","2023-10-03T14:00:00+00:00","470"
"Sri Lanka",True,"2019-06-25T21:30:00+00:00","2023-10-02T13:30:00+00:00","1"
"Sri Lanka",False,"2021-01-14T01:18:54+00:00","2023-10-03T14:28:19+00:00","17"
"S. Sudan",False,"2021-09-13T17:17:43+00:00","2022-07-11T04:42:44+00:00","1"
"Sudan",True,"2020-05-14T14:00:00+00:00","2023-05-17T13:00:00+00:00","3"
"Sweden",True,"2016-12-02T11:00:00+00:00","2023-10-03T13:00:00+00:00","63"
"Sweden",False,"2021-01-14T01:18:49+00:00","2023-10-03T14:29:01+00:00","10"
"Switzerland",True,"2016-11-21T12:00:00+00:00","2023-10-03T14:00:00+00:00","26"
"Switzerland",False,"2020-10-06T18:34:39+00:00","2023-10-03T14:28:56+00:00","17"
"Taiwan",True,"2016-12-20T19:00:00+00:00","2021-05-17T05:00:00+00:00","58"
"Taiwan",False,"2021-01-14T01:18:55+00:00","2023-10-03T14:28:53+00:00","10"
"Tajikistan",True,"2019-10-20T23:00:00+00:00","2023-10-03T15:00:00+00:00","3"
"Tanzania",False,"2021-01-06T19:12:27+00:00","2023-08-14T17:35:02+00:00","13"
"Thailand",False,"2021-01-08T22:39:19+00:00","2023-10-03T14:29:06+00:00","100"
"Thailand",True,"2016-01-30T01:00:00+00:00","2023-10-03T17:00:00+00:00","258"
"Timor-Leste",False,"2021-01-14T01:18:51+00:00","2023-02-01T21:39:19+00:00","3"
"Togo",False,"2020-01-24T01:13:50+00:00","2023-10-03T14:28:30+00:00","11"
"Trinidad and Tobago",False,"2021-01-14T01:18:28+00:00","2023-10-03T14:28:28+00:00","3"
"Trinidad and Tobago",True,"2023-03-31T15:00:00+00:00","2023-06-16T00:00:00+00:00","4"
"Turkey",False,"2022-01-07T09:30:33+00:00","2023-10-03T14:28:19+00:00","8"
"Turkey",True,"2016-12-12T06:00:00+00:00","2023-10-03T10:00:00+00:00","346"
"Turkmenistan",True,"2019-10-20T22:00:00+00:00","2023-10-03T15:00:00+00:00","2"
"Turkmenistan",False,"2022-10-20T14:11:40+00:00","2023-10-03T14:28:24+00:00","1"
"Uganda",False,"2020-07-07T00:16:13+00:00","2023-10-03T14:29:06+00:00","48"
"Uganda",True,"2017-02-18T01:00:00+00:00","2023-10-03T13:00:00+00:00","1"
"Ukraine",False,"2021-01-14T01:18:19+00:00","2023-10-03T14:28:56+00:00","11"
"United Arab Emirates",True,"2017-12-26T23:00:00+00:00","2023-10-03T17:00:00+00:00","22"
"United Arab Emirates",False,"2021-01-14T01:18:30+00:00","2023-10-03T14:28:28+00:00","10"
"United Kingdom",False,"2021-01-05T22:23:47+00:00","2023-10-03T14:29:05+00:00","302"
"United Kingdom",True,"2016-01-30T01:00:00+00:00","2023-10-03T14:00:00+00:00","421"
"United States of America",False,"2017-11-23T23:17:16+00:00","2023-10-03T14:29:06+00:00","26332"
"United States of America",True,"2016-01-30T01:00:00+00:00","2023-10-03T14:25:14+00:00","3092"
"Uzbekistan",True,"2018-11-27T22:00:00+00:00","2023-10-03T15:00:00+00:00","1"
"Uzbekistan",False,"2021-08-11T15:13:31+00:00","2023-10-03T14:28:52+00:00","8"
"Venezuela",False,"2021-04-11T00:08:30+00:00","2023-10-03T14:28:35+00:00","1"
"Vietnam",False,"2021-01-08T21:54:53+00:00","2023-10-03T14:29:04+00:00","45"
"Vietnam",True,"2016-01-30T01:00:00+00:00","2023-10-03T17:00:00+00:00","6"
"Zambia",False,"2021-08-17T18:23:00+00:00","2023-10-03T14:17:17+00:00","3"
"Zimbabwe",False,"2021-01-08T20:53:40+00:00","2021-11-22T10:24:25+00:00","1"
